Original;Conceptos
assort;arrange,characteristic,class,classify,consort,kind
unfunny;funny,humorless
sophomoric;conceited,immature,poorly,pretentious,sophomore
accentbut;
behindthe;
inadvertent;advert,advertent,conscious,inadvertently,intentional,unintended
insufferable;endure,insufferableness,insufferably,intolerable,sufferable
blythe;blithe
raid;arrest,attack,foray,foray-into,hashtag,invasion,live
ramble;blather,ramble-on,rambling,rattle,roam,roll,seam,shale,talk,winding
nutty;around-the-bend,barmy,nut,nuts,nutty-as-fruitcake,tasty
thoughtless;consideration,inattentive,inconsiderate,short-sighted,uncaring,unconsidered,unreflective
romaniathe;
homein;
distrust;confidence,misgiving,mistrust,no,trust
flourish;boom,brandish,figure,thrive
shepard;Alan-Bartlett-Shepard-Jr.,Sam-Shepard
revelry;joyful,merry-making,revel,riotous
unclear;ambiguous,amorphous,blurred,ill-defined,incomprehensible,indefinite,indistinct,opaque,perplexing,undecipherable,vague
acerbic;acerb,biting,harsh,sharp,sour,sulfurous
error;blooper,calculated,difference,measured,mistake,unerring
slashersi;
whatsoeverhowever;
gamer;game,game-system,player,video-games
wronghaving;
ankle;foot,joint,lowermost,pedal,skeletal,spat,wrist
ladenthey;
gideon;bible,christian,evangelical,judge,puritan
arlen;
sushant;
usurp;assume,coat-of-arms,illegitimate,means,usurpation
screenplay;play,playwright,screenwriter,screenwriting,script,show
population;census,count,country,number,people
pamelyn;
nonphysical;immaterial,insubstantial,physical
amuse;amusement,funny
enrage;rage
roth;Philip-Milton-Roth,ashkenazi,english,german,roth
instalment;episode,first-instalment,installation,installment,repayment
truly;genuinely,honestly,in-truth,really,rightfully,true,unfeignedly
alpo;
splinter;break,group,long,secede,sliver,splinter-group
reasonshow;
merman;Ethel-Merman,human,legendary,mermaid
gunsels;gunsel
retiled;
season;accustom,chasten,fit,removal,spring,winter
ago;agone,long,long-long,long-time,past,time
sash;formal,gate,girdle,rectangular
extend;carry,exsert,gallop,longer,make,make-longer,offer,reach,run
dmytryks;
zealand;denmark,zeeland
funnyits;
routineso;
ash;ashlee,cigar,fire,god,name
finsished;
elinors;
insensitive;dead,dull,hard,insensible,pachydermatous,soulless,thick-skinned,tough,unresponsive,unsensitive,unsusceptible
howsoever;however,whatsoever
wowthis;
prizzi;
butcharacters;
stepfather;stepbrother,stepchild,stepdad,stepdaughter,stepsister,stepson
metaessay;
costume;customary,hairstyle,people,period,season
chaplin;Sir-Charles-Spencer-Chaplin,bacterial,fibril,protein
ambulancehearse;
lovethis;
tycoon;baron,daimyo,magnate,taipan,wealthy-and-powerful-business-person
magda;
unpretentious;honest,modest,plain,pretentious,simple,tasteful,unassuming,understated,unostentatious,unpompous
dastardly;cowardice,cowardly,dastard,pusillanimous,treacherous
interaction;conversation,effect,interact,interactive,one-another
telekinetics;telekinesis
chippindalemaybe;
vigil;devotion,festival,keep-watch,lookout,ritual,vigilance,watch
largebrained;
waterwith;
rapscallion;imp,rascal,rogue,roguish,scamp,scoundrel
negro;
viewingin;
neckthe;
ifc;International-Finance-Corporation,jfc
grail;feather,gradual,gravel,hawk
critical;censorious,critic,criticism,criticize,critique,crucial,dangerous,dire,essential,indispensable,sarcastic,supercritical
playbut;
pacific;arrangement,calm,conciliatory,pacific-ocean,peaceable,wheel
growth;abnormal,bigger,emergence,grown,increase,strength
nikolai;alaska,city,transliteration
shtapparently;
fujimoto;
harrow;frighten,plow,public-school,tooth,torment
themand;
discrimination;discernment,prejudice,racism,stereotype
salmonella;bacteria,food-poisoning,rod,shaped,typhoid-fever
constantly;constant,continuously,incessantly,persistently,unchangeable
asia;arctic-ocean,atlas,iapetus,pacific-ocean,urals
snow;Baron-Snow-of-Leicester,bamboozle,coke,cold,precipitation,rain,white,winter
terrify;affray,intimidate,menace,scare,terrific,terrifying,terror
lessoncall;
resurgence;renewal,resurge,revival,vigor,vitality
harken;evoke,hark,pine
trout;admonish,fish,sensibilities,woman
select;blue-ribbon,choose,element,option,superior
comer;arrival,come
beswick;
wittyhowever;
fishy;drag-queen,fish,inspire,suspicious
annoyance;aggravator,annoy,bitter-pill,irritate,irritation
archaeologist;archaeology,archeologist
pixar;cgi,pixar
confiscation;confiscate,process
hitchcockimitation;
always;constantly,ever,every,every-time,forever,incessantly,time
arachnia;
aspirant;advancement,aspire,aspiring,recognition
solletts;
highclass;
partthanks;
dentistrythe;
shortage;dearth,deficit,outage,ration,rationing
ableand;
yankee;New-Englander,Yank,Yankee-Doodle,cheat,genoa,northern,topmast,wager
cowardcurious;
amoral;believing,caring,immorality,morality,non-moral
giallo;
earl;count,countess,earline,nobleman,viscount
overlay;decal,load,overlie,pop-up,sheathing
simpler;simples,simplist
bread;baked,boodle,food,loaf,sandwich,wheat
outthe;
mpaathis;
himher;
bloody;all-firedly,blinking,blood-filled,bloodshed,bloodstained,bloody-minded,homicidal,internecine,merciless
fabrication;carcass,fabric,fabricate,lying,manufacture
peggs;
youthis;
anesthetic;anaesthetic,anesthetically,anesthetize,perception
editor;copy-editor,document,editor-program,make,publish,publisher
alikethe;
twentysomethings;twentysomething
daytime;day,daylight,sunrise,sunset
distractingcharles;
vibrationalenergy;
happy;blessed,blissful,bright,cheerful,contented,elated,emotion,feeling,felicitous,laughing,well-chosen,willing
caballeros;
comedygene;
syberia;
clockwork;clock,device,mechanical,toothed
yakuza;mafia,member,organized-crime,tong,triad
card;batting-order,birthday,calling-card,deck,greeting,menu,paper,playing,tease,wag
license;deviate,lack,practice,restraint
gautum;
perspective;appearance,perspective-glass,point-of-view,position,sense,vista
santo;
curious;funny,inquiring,inquisitive,interested,interesting,overcurious,particular,prying,singular
maryland;annapolis,maryland
body;arms,consistency,human,legs,person,torso
outskirt;city,part,periphery
weepy;lachrymose,tearful,weep,weeper,weeping
themthe;
relased;
gen;automated,focus,niger-congo,sequence
gaborwho;
loop;closed-circuit,coil,cringle,encircle,iteration,loop-topology,maneuver,opening,point,quasigroup
handfeet;
sunshine;back-room,cheerfulness,fair-weather,geniality,sleepy,sunbeam,sunlight
mindbending;
malik;
postwar;
kum;
respect;admiration,deference,earned,esteem,honor,honour,obedience,regard,song
hausman;
solidify;concentrate,consolidate,freeze,set,solid
potter;hawk,player,pottery,putter,vague,ware
fauxmetal;
term;condition,constant,period,regulation,sign,terminus,word,year
ilk;category,kind,likes,race,same,sort,type,very
wb;hello,motion-picture,recording,rehi,television,united-states,weber
unadjusted;adjusted,altered,maladjusted,unadapted
schrenbergcertainly;
friendthe;
zam;
pataki;
affliction;afflict,pain,suffering,worry
schedulescardale;
interfere;busy-body,disturbance,interferometry,intervene,overlap,superpose
headline;attraction,byline,headrope
fascinate;attraction,attractive,capture,evoke,interest,intrigue,motionless
redeem;atone,deliver,expiate,liquidate,ransom,redemption,reputation
multiculturalism;ethnic,multicultural,multiculturally,multicultured,national
inoh;
maxfighting;
gutsy;bold,courage,determination,guts
threequarters;
waltz;briskly,dance,piece,unhesitatingly,walk-in
extremist;extreme,fanatic,political,radical,ultra,view
rubbery;cartilaginous,rubber,rubberlike
meter;equator,parking-meter
trove;collection,treasure,treasure-trove
strother;
deem;belief,believe,consider,estimation,judge,suppose
advancement;advance,advanced,money,progress,promotion,property
scotty;diminutive,given-name,scott
bachchans;
ifpi;
voyeurism;derivation,secretly,sexual,undressed,watching
youim;
cinemax;
shetty;
jerome;Eusebius-Sophronius-Hieronymus,arkansas,county-seat,howard-county,indiana,pennsylvania
mortal;deadly,deathly,earthborn,earthly,fatally,finite,merciless,person,smashed,vulnerable
sofia;bulgaria,capital,tourist-attraction
fondly;affectionately,fond,foolishly,lovingly,tenderly
garbagethe;
hellborn;
legros;
kendis;
alike;alike-p-,equally,likewise,resemblance
jupiterc;
candidate;apply,campaigner,election,job,synonym
bachans;
gawds;
skirt;annulus,border,clothing,dame,dress,hedge,surround,woman
limn;delineate,draw,paint,portray
waldo;waldo
telemovie;feature-film,telefilm,television-movie,television-network
glossy;calendered,glistening,magazine,showy,silk,slick,specious
underbelly;animal,immoral,underside
persevere;distraction,journey,obstacle,perseverance
againthe;
twas;it,tis,twa,twas,was
peachtree;dutch,liqueur,peach,tree
brigand;bandit,brigandage,outlaw
admirer;admirable,admiration,admire,supporter
specialops;
chair;electric-chair,furniture,moderate,president,seat,sit,sitting,table
gee;dollar,g,guy,haw,unit
alienmovies;
marathon;activity,attica,sustain
persuasive;cogent,compelling,convincing,incitement,ingratiatory,persuade,persuasion,smooth-tongued
pearl;bone,clitoris,diamond,drop,major,oyster,precious
filmafter;
jerkoff;ignorant,inappropriately,norms,obnoxiously,rudely
gadget;appliance,consumer,exploit,location
noble;august,baronial,exalted,honorable,monarchical,nobleman,princely,regal,royal,royalty,unreactive
expectinghoping;
timesits;
becky;becky,white
sigourney;county-seat,iowa,keokuk-county,usa
shannon;Claude-Elwood-Shannon,atlantic-ocean,ireland,sea-area
songwriter;compose,lyrics,singer-songwriter,songwriting,tune
pale;light,palisade,pallescent,pallid,picket,scoop,stake,thin
keener;brownnose,eager,excessive,funeral,keen
iconic;icon,symbolic
friendsa;
cleave;cleft,cling,glass,semiconductor,split,symmetrical,unto
magorian;
convenience;amenity,appliance,being,lavatory,make,more,public-toilet
sonny;address,boy,cub,familiar,form,sissy
mobile;airborne,fluidity,freedom,internet,mechanized,moving,nomadic,perambulating,transplantable,waterborne,wheel
corporeal;bodied,bodily,corporal,embodied,incorporation,reincarnate,somatic,tangible
alpine;county-seat,mountain,new-south-wales,texas,upland
technologyout;
sad;bad,deep,depressed,distressing,heavyhearted,lamentable,melancholic,mournful,poignant,seasonal-affective-disorder,tragical,tragicomical,undesirable
funnier;
tokyo;arakawa,bunkyō,hachiōji,kōtō,nakano
sidekick;assistant,buddy,superior
germany;austria,baden-württemberg,goth,nominal,pomerania
bare;au-naturel,barely,condom,denudate,minimal,naked,publicize,reveal,scanty,simple,undraped,unembellished,unroofed
gender;female,male,male-female,sex,woman
meat;animal,flesh,food,kernel
nanoo;
vive;vive
dedication;commitment,dedicate,dedicated,deliberate,negligent
evilthe;
paternity;affiliation,authorship,fatherhood,paternal,paternity-leave
conflict;battle,disagree,disagreement,dispute,fulfil,individual,overlap
runner;ball-carrier,base-runner,batsman,carpet,employee,smuggler,stolon,trainer
resound;echo,make-noise,noise,sound
vangard;
dayhis;
starstruck;
eifel;eifel
amazonians;
populate;collection,inhabit,live,people
immediacy;apprehension,awareness,direct,immediate,mediation
antiaircraft;defensive
lob;cob,hit,kick,place,throw
assembly;building-block,executable-code,fabrication,forum,information,legislative,unison
meticulous;careful,conscientious,detail,fastidious,precise,punctilious,rigorous
regal;kingly,majestic,noble,queen,royal,royalty
collection;donation,excise,gather,group,related,set,solicitation
mind;beware,brain,head,judgment,sanity,thinking,thought,thoughts
boysexaggerating;
annoyingwhen;
eventually;at-last,finally,in-end,one-day,some-day,tail,ultimately
promo;interview,promote,promotion,publicize
rust;brown,corrode,ferric-oxide,ferruginous,iron,rust-brown
watchably;
eastern;blow,east,east-central,easterly,eastern-orthodox,middle-Atlantic,northeastern,northern,oriental,southeastern
incidentthis;
baldrick;arm,baldric,belt,breast,broad,ornament
theft;larceny,steal,stealing,thief,thieve,twoc
vj;dj
redemptionthis;
loos;Adolf-Loos,fame,loo,praise,reputation
higher;entrance,high,increase,raise,university
bonus;foul,pay,premium,score
dangerous;breakneck,danger,hazardous,illness,insecure,life-threatening,self-destructive,touch-and-go,treacherous,unsafe,vulnerable
itplus;
flame;fire,flamboyant,flamingo,flare,imagination,message
whileit;
sentiment;feel,feeling,mood,opinion
precelebrity;
chameleon;Chamaeleon,circumstance,environment,mass,reptile
madan;kamadeva
touchednot;
badel;
diggs;
chapter;capitulation,meeting,organization,overarching,section
unsatisfying;dissatisfactory,satisfaction
metal;alloy,hard,iron,material,metallic,shiny,steel
motocrossed;
reputationsi;
cause;because,campaign,causal-agent,effect,induce,lawsuit,procure,reason,render,result,situate
pastor;church,curate,imam,minister,pastor,priest,reverend,shepherd,vicar
discomfort;bodily,discomfit,disturb,mental
dare;challenge,defy,dog,double,make-bold,truth,truth-or
borch;
swenson;
accorsi;
quran;Koran,quran,tajwid
therewell;
movedduring;
dissolve;disband,disintegrate,fade-out,fluid,transition
earthbut;
zues;
scenesthen;
garner;earn,gather,granary,hoard,store
cloy;choke-up,jade,loathe,satisfy,surfeit
college;college,education,higher,learning,school,university
oneseven;
chipettesbrittany;
owlahbut;
blindfold;bandage,blindfolded,covering,thoughtless,unable,vision
humanity;human,humane,humanness,mankind,nature,world
effectsthe;
clientel;
purez;
rhode;oceanid,oceanus,rhode-island,rhodes,tethys
systembut;
utilization;use
scurvy;livid,low,miserable,mucous,scorbic,scorbutic
exdoctor;
ramsay;
valentinovs;
gaiman;
jimmie;
devolve;delegate,fall,inherited,on,upon
relative;antecedent,conditional,proportional,relate,relational,sister
clooney;
thoughbecause;
tangent;complex,cosine,non-sequitur,tangential,unrelated
scarecrow;anything-that-appears-terrifying-but-offers-no-danger,bird-black-tern,scarer,straw-man,tall-thin-awkward-person
nonadmirer;admirer
unforgivable;forgivable,inexcusable,unpardonable
poplar;deciduous,east-end,tree,wood
wallop;boil,impact,punch,thrash,wallow,whack
bondable;able,adhesive,bindable,bond,bondability
cannavale;
characatures;
beensbut;
dolt;blockhead,dullard,person,stupid,unintelligent-person
kennedy;President-John-F.-Kennedy
escape;break,elude,get-away,get-off,jail,miss,out,prison,run,safety-valve
catandmouse;
redhaired;red-hair,redheaded
performer;actor,audience,kinker,perform,performing
henderson;henderson,henderson-county,iowa,louisiana,nevada,tennessee
lennon;John-Lennon,beatles
hesitancy;fear,halt,hesitance,outcome,pause,reluctance,uncertainty
disneyesque;animator
overexplained;
quoteables;
joker;fool,funny,joke,wild-card
commercial;advertisement,airport,aviation,commercial-grade,commercialised,flight,media,mercantile,moneymaking,technical,television
vincenzo;
tearyeyed;
loveable;lovable
problemsin;
johnrhys;
valuei;
unacceptable;accept,conforming,exceptionable,intolerable,unaccepted,unsatisfactory,unwelcome
globalisation;globalise,globalization,interconnected,process,world
ignorant;crude,ignore,ill-mannered,know,unaware,unknowledgeable,unlettered,unversed
verve;animates,artist,energy,musician,spirit,vitality
chuckle;chortle,cluck,laugh
priscilla;christian,prisca,prissy
smartmouthed;smart-alecky
nightimmunity;
anglo;anglo-saxon,british,english
purist;purism
companion;company,comrade,hatchway,partner,quarterdeck,sailing-ship,travel
appropriate;allow,apropos,befitting,grade-appropriate,pat,proper,socially,suitable,well-mannered
earring;ear,earing,jewelry
loydd;
comb;caruncle,harmonica,irreducible,orling,scale,unique
russell;Bertrand-Arthur-William-Russell,Charles-Taze-Russell,George-William-Russell,Henry-Kenneth-Alfred-Russell,Lillian-Russell,county-seat,kansas,norman,russell-county,usa
wellabout;
claustrophobic;afraid,claustrophobia,confined
obstreperous;aggressive,clamorous,control,defiant,disobedient,noise,recalcitrant,tumultuous
adequatethis;
teamster;drive,labour-union,oxen,team,truck
enviable;desirable,envy,unenviable
admitit;
press;button,compress,down,imperativeness,iron,media,push,wardrobe,weigh
